Shirt Color,Pantone Color,L*a*b Value,HEX
Heather Ice Blue,317 CP,"85.65, -11.38, -2.20",BDDDD9
Berry,233 CP,"45.38, 71.84, -7.30",C6057B
Oxblood Black,7449 CP,"28.13, 16.23, -6.49",55394D
White,White C,"100, 0, 0",FFFFFF
Ash,428 CP,"78.50, -2.14, -0.31",BDC4C2
Gold,137 C,"76.47, 31.14, 81.64",FFA400
Yellow,100 CP,"92.09, -6.83, 62.42",F6EB69
Deep Teal,3025 CP,"32.45, -23.19, -27.24",005876
Heather Maroon,7644 CP,"27.76, 25.21, -2.86",603147
Evergreen,343 C,"31.90, -26.89, 6.33",115740
Red,200 C,"41.43, 65.63, 34.16",BA0C2F
Leaf,2263 CP,"57.33, -18.14, 19.97",729364
Pink,705 C,"89.66, 10.65, 1.15",F5DADF
Heather True Royal,286 CP,"30.46, 7.90, -44.70",24468E
Heather Team Purple,2665 C,"45.45, 34.51, -52.90",7D55C7
Solid Black Blend,Black C,"0, 0, 0",00000